data;id;n_datos;V;I;W
01/01/2014 00:00:00;14;301;0,0026;0,0103;0
01/01/2014 00:10:00;14;302;0,0031;0,0103;0
01/01/2014 00:20:00;14;302;0,0013;0,0102;0
01/01/2014 00:30:00;14;303;0,0002;0,0102;0
01/01/2014 00:40:00;14;302;0;0,0103;0
01/01/2014 00:50:00;14;297;0,0004;0,0102;0
01/01/2014 01:00:00;14;300;0,0003;0,0102;0
01/01/2014 01:10:00;14;291;0,0082;0,0101;0,0001
01/01/2014 01:20:00;14;295;0,0104;0,01;0,0001
01/01/2014 01:30:00;14;291;0,0392;0,0101;0,0004
01/01/2014 01:40:00;14;304;0,1334;0,0101;0,0014
01/01/2014 01:50:00;14;302;0,0433;0,0099;0,0004
01/01/2014 02:00:00;14;302;0,0023;0,0099;0
01/01/2014 02:10:00;14;302;0;0,01;0
01/01/2014 02:20:00;14;302;0,0001;0,0099;0
01/01/2014 02:30:00;14;302;0,0014;0,01;0
01/01/2014 02:40:00;14;303;0,001;0,01;0
01/01/2014 02:50:00;14;303;0,0238;0,01;0,0002
01/01/2014 03:00:00;14;303;0,0157;0,0101;0,0002
01/01/2014 03:10:00;14;302;0,0486;0,0101;0,0005
01/01/2014 03:20:00;14;301;0,0112;0,0101;0,0001
01/01/2014 03:30:00;14;303;0,0005;0,0099;0
01/01/2014 03:40:00;14;301;0;0,0099;0
01/01/2014 03:50:00;14;301;0,0011;0,0098;0
01/01/2014 04:00:00;14;300;0,0008;0,0098;0
01/01/2014 04:10:00;14;302;0;0,0098;0
01/01/2014 04:20:00;14;302;0;0,0099;0
01/01/2014 04:30:00;14;301;0;0,01;0
01/01/2014 04:40:00;14;300;0,029;0,01;0,0003
01/01/2014 04:50:00;14;304;0,0565;0,01;0,0006
01/01/2014 05:00:00;14;301;0,0476;0,0099;0,0005
01/01/2014 05:10:00;14;301;0,0416;0,01;0,0004
01/01/2014 05:20:00;14;301;0,0418;0,01;0,0004
01/01/2014 05:30:00;14;302;0,0377;0,0101;0,0004
01/01/2014 05:40:00;14;300;0,0047;0,0101;0
01/01/2014 05:50:00;14;303;0,0004;0,0101;0
01/01/2014 06:00:00;14;302;0;0,01;0
01/01/2014 06:10:00;14;302;0,0019;0,0099;0
01/01/2014 06:20:00;14;303;0,0279;0,0098;0,0003
01/01/2014 06:30:00;14;303;0,0334;0,0099;0,0003
01/01/2014 06:40:00;14;302;0,0494;0,01;0,0005
01/01/2014 06:50:00;14;302;0,0539;0,0101;0,0005
