data;id;n_datos;valor_med;valor_max;valor_min
01/01/2014 00:00:00;1;99;-0,3922;-0,191;-0,5725
01/01/2014 00:10:00;1;107;-0,3971;-0,191;-0,4962
01/01/2014 00:20:00;1;105;-0,4127;-0,191;-0,4962
01/01/2014 00:30:00;1;103;-0,4266;-0,3436;-0,4962
01/01/2014 00:40:00;1;104;-0,4236;-0,191;-0,5725
01/01/2014 00:50:00;1;101;-0,4199;-0,3436;-0,5725
01/01/2014 01:00:00;1;107;-0,4142;-0,191;-0,5725
01/01/2014 01:10:00;1;105;-0,4069;-0,191;-0,4962
01/01/2014 01:20:00;1;100;-0,4123;-0,191;-0,5725
01/01/2014 01:30:00;1;104;-0,4236;-0,191;-0,4962
01/01/2014 01:40:00;1;101;-0,4131;-0,191;-0,4962
01/01/2014 01:50:00;1;105;-0,4047;-0,1147;-0,4962
01/01/2014 02:00:00;1;102;-0,4102;-0,191;-0,5725
01/01/2014 02:10:00;1;103;-0,4118;-0,191;-0,5725
01/01/2014 02:20:00;1;97;-0,4215;-0,191;-0,5725
01/01/2014 02:30:00;1;106;-0,4127;-0,191;-0,5725
01/01/2014 02:40:00;1;103;-0,4318;-0,191;-0,5725
01/01/2014 02:50:00;1;100;-0,4085;-0,1147;-0,5725
01/01/2014 03:00:00;1;101;-0,4177;-0,191;-0,5725
01/01/2014 03:10:00;1;100;-0,423;-0,3436;-0,5725
01/01/2014 03:20:00;1;109;-0,4122;-0,191;-0,5725
01/01/2014 03:30:00;1;106;-0,4221;-0,191;-0,5725
01/01/2014 03:40:00;1;100;-0,4169;-0,191;-0,5725
01/01/2014 03:50:00;1;104;-0,4177;-0,1147;-0,5725
01/01/2014 04:00:00;1;103;-0,4318;-0,3436;-0,5725
01/01/2014 04:10:00;1;98;-0,4262;-0,191;-0,5725
01/01/2014 04:20:00;1;105;-0,4076;-0,191;-0,4962
01/01/2014 04:30:00;1;99;-0,4122;-0,191;-0,5725
01/01/2014 04:40:00;1;101;-0,4116;-0,191;-0,5725
01/01/2014 04:50:00;1;103;-0,4081;-0,1147;-0,4962
01/01/2014 05:00:00;1;107;-0,4099;-0,191;-0,5725
01/01/2014 05:10:00;1;94;-0,4134;-0,1147;-0,5725
01/01/2014 05:20:00;1;106;-0,4142;-0,191;-0,4962
01/01/2014 05:30:00;1;106;-0,4149;-0,191;-0,5725
01/01/2014 05:40:00;1;109;-0,4178;-0,191;-0,5725
01/01/2014 05:50:00;1;96;-0,4199;-0,191;-0,5725
01/01/2014 06:00:00;1;106;-0,4156;-0,191;-0,5725
01/01/2014 06:10:00;1;104;-0,4075;-0,191;-0,5725
01/01/2014 06:20:00;1;100;-0,4092;-0,191;-0,5725
01/01/2014 06:30:00;1;103;-0,4118;-0,3436;-0,5725
01/01/2014 06:40:00;1;103;-0,4036;-0,191;-0,4962
01/01/2014 06:50:00;1;99;-0,4107;-0,191;-0,4962
01/01/2014 07:00:00;1;104;-0,4097;-0,191;-0,4962
01/01/2014 07:10:00;1;109;-0,4087;-0,191;-0,4962
01/01/2014 07:20:00;1;106;-0,4106;-0,1147;-0,5725
01/01/2014 07:30:00;1;98;-0,4168;-0,191;-0,5725
01/01/2014 07:40:00;1;101;-0,4094;-0,191;-0,4962
01/01/2014 07:50:00;1;100;-0,3513;-0,191;-0,4962
01/01/2014 08:00:00;1;105;-0,2237;0,0378;-0,4962
01/01/2014 08:10:00;1;108;0,1572;0,8008;-0,191
01/01/2014 08:20:00;1;111;1,5617;2,3267;0,8008
01/01/2014 08:30:00;1;108;1,9551;2,403;1,4112
01/01/2014 08:40:00;1;103;3,2504;5,6074;1,7926
01/01/2014 08:50:00;1;99;9,1555;13,4658;5,6074
01/01/2014 09:00:00;1;100;15,2595;21,8582;8,1251
01/01/2014 09:10:00;1;109;12,8505;15,8309;8,9644
01/01/2014 09:20:00;1;107;21,2949;26,8174;14,2287
01/01/2014 09:30:00;1;100;25,1618;40,3217;12,3214
01/01/2014 09:40:00;1;107;48,0895;53,9022;38,872
01/01/2014 09:50:00;1;105;56,5028;77,7825;37,2699
01/01/2014 10:00:00;1;100;33,9045;51,6133;24,9863
01/01/2014 10:10:00;1;103;32,3136;57,1829;16,4413
01/01/2014 10:20:00;1;95;58,1675;97,3141;21,0953
01/01/2014 10:30:00;1;107;37,0132;64,965;19,722
