Random,Date,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy,(Inverters)
0.831284312469127,5/30/2017,0.31,9.96,19.77,7.51,45.51,10.91,27.20,29.99,35074.00,
0.605384857158286,7/26/2017,0.27,9.41,24.57,21.81,83.62,5.09,29.26,30.05,28983.00,
0.622956778932604,6/5/2016,0.35,10.00,20.79,15.21,68.98,11.61,28.96,29.75,28213.00,
0.828596188581518,1/19/2017,0.70,3.63,4.34,4.01,95.85,8.08,29.09,29.88,3127.00,
0.416856020531,5/5/2017,0.12,10.00,10.78,5.44,70.45,15.34,28.98,29.77,39832.00,
0.891882396200538,8/14/2017,0.49,9.98,22.87,17.66,69.39,2.89,29.10,29.89,29671.00,
0.222742801415866,8/7/2016,0.16,10.00,21.68,16.35,67.06,6.52,29.23,30.03,30312.00,
0.878542251333728,6/2/2016,0.00,10.00,22.46,12.51,53.16,5.88,29.25,30.04,32663.00,
0.363509321938821,8/20/2016,0.52,8.58,22.71,21.05,88.31,9.25,28.96,29.74,20057.00,
0.679784945722621,10/14/2016,0.02,9.65,12.53,7.32,71.23,5.78,29.41,30.21,28965.00,
0.922765910587798,11/18/2016,0.62,9.59,12.62,8.50,73.69,16.88,29.11,29.90,6834.00,
0.334477968459513,10/7/2017,0.39,9.70,20.90,16.36,77.64,15.08,28.92,29.71,19562.00,
0.911586062888401,1/10/2017,0.79,9.50,4.89,3.07,86.72,22.92,28.95,29.74,1169.00,
0.52304272615564,2/28/2017,0.65,7.59,13.93,12.83,67.67,15.61,21.42,29.76,3416.00,
0.718612705563116,3/19/2017,0.16,10.00,6.22,0.87,69.30,6.44,29.47,30.27,35855.00,
0.838945683300029,4/10/2017,0.38,9.95,18.22,13.86,73.16,14.68,29.12,29.91,11365.00,
0.480239483346237,11/14/2016,0.08,9.94,8.92,4.93,73.05,6.79,29.16,29.95,20376.00,
0.133820726736581,4/4/2016,0.73,10.00,4.81,-0.33,70.16,13.79,29.34,30.14,22913.00,
0.146900869644825,12/25/2016,1.00,1.61,4.21,3.93,96.97,12.52,29.42,30.22,14379.00,
0.35230310024864,7/4/2017,0.15,9.39,24.76,21.08,78.89,3.32,29.27,30.06,10848.00,
0.412702253089217,3/14/2016,0.97,5.40,12.41,12.25,94.41,3.87,28.93,29.72,7270.00,
0.054687283893451,2/11/2017,0.39,8.80,10.55,8.56,84.93,7.39,29.05,29.84,20898.00,
0.818281817758741,6/23/2016,0.21,10.00,26.17,20.99,71.54,9.11,29.09,29.88,34494.00,
0.517690303046579,3/13/2017,0.93,5.15,-1.89,-2.91,89.34,10.58,29.35,30.14,580.00,
0.508451378990592,7/1/2017,0.15,9.99,23.49,17.50,69.10,8.39,29.19,29.98,12116.00,
0.523404668989547,7/17/2016,0.13,9.70,23.60,21.59,86.81,8.76,29.28,30.07,22581.00,
0.909675256065628,3/24/2017,0.32,10.00,17.82,11.78,67.52,15.09,29.21,30.00,31050.00,
0.544247502253333,10/1/2016,0.88,7.56,16.60,14.98,89.52,4.07,29.21,30.00,16084.00,
0.86639811888245,9/4/2017,0.24,9.98,22.28,17.88,72.87,10.33,29.06,29.85,24948.00,
0.17405913354936,2/2/2017,0.02,10.00,-4.81,-10.90,48.59,10.82,23.51,30.39,24585.00,
0.037111551826645,9/16/2016,0.49,9.02,21.93,20.61,89.81,6.83,29.22,30.01,11245.00,
0.575280610987771,12/22/2016,0.30,9.78,1.78,-0.23,83.18,8.23,29.51,30.31,14016.00,
0.984881561337026,6/9/2016,0.25,10.00,23.32,13.73,53.59,7.75,29.21,30.00,29142.00,
0.025944435094837,6/17/2016,0.06,9.58,23.09,14.66,58.31,9.56,29.24,30.03,36626.00,
0.341500197838645,10/4/2017,0.92,9.86,21.53,19.71,86.57,6.08,29.49,30.29,7416.00,
0.052867880304875,4/3/2016,0.10,10.00,9.85,1.48,56.58,16.91,29.10,29.89,37546.00,
0.222004420829087,2/21/2016,0.60,10.00,4.86,1.64,78.61,10.27,29.29,30.08,27170.00,
0.084419318110886,10/24/2017,0.89,9.45,7.36,5.28,86.94,12.65,28.98,29.77,5427.00,
0.242227040607271,1/6/2017,0.27,9.36,-16.06,-18.72,72.70,5.20,29.50,30.30,3318.00,
0.349759390513866,4/15/2016,0.00,10.00,16.00,4.59,48.43,9.18,29.37,30.17,31522.00,
0.436796868099,2/23/2016,0.07,10.00,3.85,-1.32,69.81,13.39,29.19,29.98,26058.00,
0.990711712378906,10/17/2017,0.01,10.00,12.91,5.38,63.66,8.98,29.45,30.25,30038.00,
0.302280429343529,1/27/2017,0.84,9.95,-2.07,-4.21,81.01,13.35,28.88,29.94,2271.00,
0.722959105075119,7/23/2017,0.36,9.36,26.07,22.46,79.77,7.62,28.76,29.84,29748.00,
0.308199557687441,5/5/2016,0.34,10.00,11.85,5.69,64.78,10.47,29.16,29.95,22714.00,
0.173185639179273,2/10/2016,0.25,10.00,-9.72,-13.98,67.70,10.30,29.29,30.08,20758.00,
0.204807082810226,6/24/2017,0.18,10.00,19.11,11.29,62.18,10.34,29.25,30.04,12730.00,
0.185759829568579,2/2/2016,0.80,3.94,6.99,6.22,93.60,13.29,28.91,29.70,1761.00,
0.511886391732563,6/25/2016,0.12,9.89,26.23,21.73,74.77,6.10,29.28,30.07,35055.00,
0.689460909182237,12/2/2016,1.00,9.92,3.40,1.01,81.99,7.95,29.43,30.22,4409.00,
0.291987306298533,2/29/2016,0.19,10.00,6.68,1.49,52.65,12.14,21.42,29.95,31868.00,
0.329053989070614,9/14/2017,0.44,8.32,20.15,16.77,79.65,2.33,29.12,29.91,25236.00,
0.759342439230244,3/22/2017,0.10,10.00,1.34,-5.15,63.41,13.19,29.67,30.47,37680.00,
0.551360433845012,9/14/2016,0.52,8.67,21.90,19.07,82.54,6.83,29.39,30.19,21074.00,
0.203709134281025,6/28/2016,0.30,10.00,20.41,14.91,68.95,7.80,29.33,30.12,29679.00,
0.303264979144706,1/12/2017,0.79,7.34,-0.38,-1.50,88.45,10.75,28.47,30.15,3069.00,
0.230176267723047,11/20/2016,0.00,10.00,-1.75,-5.53,73.12,5.93,29.52,30.32,24367.00,
0.031116713828786,4/7/2017,0.00,10.00,6.91,-0.18,57.49,8.89,26.71,30.09,39197.00,
0.178275604388286,10/9/2016,0.01,10.00,14.83,7.39,60.75,4.94,29.51,30.31,29969.00,
0.034950976770752,10/25/2016,0.59,9.92,10.12,5.08,72.95,8.19,29.56,30.36,11539.00,
0.408130842950727,10/20/2017,0.00,9.92,17.28,10.28,67.69,6.43,29.36,30.16,25673.00,
0.185116964380979,3/21/2016,0.07,9.96,5.17,-1.98,60.84,9.22,29.34,30.13,34654.00,
0.863576299610844,1/9/2017,0.57,10.00,-2.08,-5.87,72.47,15.60,29.43,30.23,8816.00,
0.437746701938346,1/2/2017,1.00,3.15,5.05,4.43,95.96,7.53,29.18,29.97,2596.00,
0.868177088604692,6/29/2017,0.27,9.76,26.08,19.71,63.68,11.83,27.08,29.86,9970.00,
0.913315712651198,4/18/2017,0.16,10.00,17.82,9.72,58.99,10.61,29.30,30.09,28700.00,
0.782599769237868,3/1/2017,0.89,9.30,6.80,4.53,82.93,21.18,28.99,29.77,5592.00,
0.911005216434968,7/4/2016,0.94,5.90,21.01,19.93,91.71,2.95,29.10,29.89,12426.00,
0.20436515353964,8/18/2017,0.17,9.90,22.91,18.13,72.66,7.31,29.11,29.90,32503.00,
0.87467738945907,12/12/2016,0.11,9.28,-2.16,-4.05,22.91,9.59,8.82,30.07,12981.00,
0.249606878685059,3/31/2016,0.50,9.75,14.64,12.20,55.95,17.11,18.78,29.50,18860.00,
0.767679313201317,3/5/2016,1.00,7.42,3.88,1.30,80.86,9.46,29.34,30.14,9662.00,
0.403527573249002,8/9/2017,0.05,10.00,20.32,14.24,66.18,2.43,29.38,30.18,35216.00,
0.289878551341541,2/3/2017,0.07,10.00,-5.40,-12.07,21.25,7.93,8.61,30.47,25191.00,
0.286488791013973,8/25/2016,0.34,9.68,24.69,22.44,85.44,6.04,29.27,30.06,30676.00,
0.701014396910867,9/17/2016,0.50,8.53,22.14,18.50,78.92,5.40,29.17,29.96,26135.00,
0.959055344954958,1/4/2017,0.29,9.87,-7.61,-11.70,70.17,16.02,29.30,30.09,18800.00,
0.700213299526716,9/21/2016,0.07,8.99,23.42,17.66,70.67,3.11,29.35,30.14,28154.00,
0.736218754899079,7/19/2016,0.56,7.25,25.22,22.24,81.77,2.87,29.41,30.22,24809.00,
0.867324185807273,10/30/2016,0.44,9.83,13.91,10.43,71.89,10.78,27.29,30.11,16663.00,
0.302443848630149,7/14/2016,0.11,10.00,23.77,19.54,77.35,7.54,29.15,29.94,32485.00,
0.667055446492835,8/22/2017,0.54,9.32,21.38,18.68,82.38,8.13,29.18,29.97,23102.00,
0.752566689394836,1/22/2017,0.81,4.90,6.40,5.91,94.84,11.04,28.80,29.58,13980.00,
0.41973159499185,3/31/2017,0.62,7.14,6.14,5.46,67.70,11.15,21.41,29.83,5601.00,
0.517157119981534,10/12/2016,0.81,8.89,15.57,13.62,86.06,11.13,29.28,30.07,9905.00,
0.431882269361152,8/10/2016,0.13,9.11,25.55,21.78,75.20,3.01,29.27,30.07,30561.00,
